Wavelength,AG3R1_2,AG3R1_3,AG3R1_4,AZ3R1_1,AZ3R1_2,AZ3R1_3,AZ3R1_4,T3R1_1,T3R1_2,T3R1_3,DK3R1_1,DK3R1_2,DK3R1_3,DK3R1_4,CR3R1_1,CR3R1_2,CR3R1_3,CR3R1_4,CF3R1_1,CF3R1_2,CF3R1_3,DQ3R1_1,DQ3R1_2,DQ3R1_3,DQ3R1_4,DJ3R1_1,DJ3R1_2,DJ3R1_3,DT3R2_1,DT3R2_2,DT3R2_3,DY3R1_1,DY3R1_2,DY3R1_3,AY3R1_1,AY3R1_2,ED3R1_1,ED3R1_2,T3R1_5,T3R1_6,EH3R1_1,EH3R1_2,EJ3R1_1,EJ3R1_2,EJ3R1_3,EJ3R1_4,EI3R3_1,EI3R3_2,A3R5_1,EH3R1_1,EH3R1_2,EH3R1_3,EH3R1_4,EI3R2_1,EI3R2_2,EI3R2_3,DF3R1_1,DF3R1_2,DF3R1_3,AS3R1_1,AS3R1_2,AS3R1_3,CM3R1_1,CM3R1_2,EI3R13_1,EI3R13_2,EO3R1_1,EO3R1_2,EO3R1_3,EO3R1_4
304.115143,5.7450432,-0.000498667,-0.621333,6.125057556,7.814003333,7.8674207,5.0507901,16.73465856,10.9363363,10.0668443,6.5172548,2.798542,1.394893889,3.1537013,9.593392818,6.6199111,8.219652111,4.6036426,12.56417233,13.69883022,12.76446111,12.0190736,10.22136227,6.6920381,6.2314043,8.526181,11.0769889,11.91399422,9.029053222,8.336101636,7.0930733,8.799830444,6.081647455,5.6996398,7.9065124,10.76011444,2.3718776,3.377311444,8.605285333,11.036423,10.2140395,11.14098056,9.250684222,7.462314,5.966468778,8.586726556,8.41668,7.813436,15.28484756,10.2842921,9.407635182,10.8586623,6.852522,11.3418849,9.482659111,6.083428222,7.791035444,5.969054455,8.9244729,9.275035222,8.600655111,8.512085667,8.963805444,9.354171556,11.47458609,9.710011636,7.328986909,6.794146,4.854045667,2.138203222
304.486816,5.7269432,-0.079643889,-0.694487778,6.125399778,7.829177667,7.8919968,5.0605458,16.69778489,10.9016306,10.0620109,6.4396375,2.718420667,1.289834,3.0711201,9.581032545,6.6109801,8.217467444,4.5846176,12.57397178,13.71533522,12.77225033,12.0368409,10.23591018,6.72165,6.2520505,8.581744444,11.1431109,11.99158556,9.048219667,8.347410818,7.1123585,8.848363,6.079034909,5.7303296,7.9444361,10.78230144,2.3983931,3.390954444,8.624602,11.07844022,10.2154774,11.15171,9.181095444,7.361605,5.777399111,8.360856,8.453128,7.8276957,15.260851,10.2608177,9.402519,10.8369254,6.8452936,11.3704085,9.489988667,6.074191222,7.809038333,5.961602182,8.9195159,9.281030333,8.602211,8.518795333,8.950982,9.331739,11.45511264,9.677211182,7.331278182,6.761165818,4.788898556,2.063067333
304.858429,5.6642252,-0.192052444,-0.786452667,6.120216222,7.832076778,7.8896447,5.0639732,16.71424911,10.9447873,10.1024388,6.3408256,2.654018889,1.203994444,2.9859875,9.569595909,6.6162556,8.210101556,4.5795642,12.62679356,13.77823478,12.79912167,12.066578,10.22823,6.7472153,6.2404693,8.644485444,11.2273312,12.08811056,9.031861333,8.337227818,7.0823552,8.874321556,6.105369636,5.7489471,7.9853483,10.82264989,2.4212263,3.409902667,8.672084889,11.14507033,10.21215,11.12844867,9.094323889,7.246857222,5.621456556,8.159508111,8.463119273,7.8257334,15.272405,10.3060394,9.431530909,10.8395154,6.861908,11.3937323,9.472216444,6.056065,7.819465222,5.943058727,8.8841795,9.287785444,8.593399556,8.546282444,8.932743111,9.319690556,11.47632018,9.672710727,7.359661,6.755960273,4.753793667,2.017227222
305.22998,5.6130764,-0.253043444,-0.866521444,6.119380667,7.838311,7.8855435,5.0802882,16.78410333,10.9963827,10.1562237,6.3335838,2.688608,1.215831889,2.9890562,9.549669,6.6328473,8.203586556,4.5681649,12.60950511,13.76622922,12.80002622,12.1086825,10.250166,6.7887152,6.2537146,8.723665222,11.3364646,12.18499778,9.012675222,8.328407727,7.0682078,8.876851,6.107577818,5.7567575,7.9962207,10.87687956,2.4347644,3.423062556,8.725822333,11.198911,10.224609,11.11246467,9.054761222,7.174701667,5.487188333,8.002324444,8.466547091,7.8235564,15.24536556,10.3131743,9.440786909,10.8157977,6.8602136,11.4042375,9.467491778,6.058002333,7.813942778,5.921172091,8.8639403,9.297431,8.601055889,8.576146889,8.910306222,9.322738333,11.47981227,9.652531727,7.394450455,6.738713818,4.734354667,1.981036444
305.601471,5.533076,-0.316408333,-0.921787333,6.102125111,7.829304556,7.8785558,5.0638789,16.79747589,11.0152839,10.1761485,6.3265734,2.691774778,1.208336667,3.0024085,9.538564182,6.6470096,8.191759444,4.563269,12.62224978,13.79730533,12.79477544,12.0951663,10.23389118,6.7851828,6.2421557,8.809514889,11.4332861,12.27289622,9.014326667,8.312868,7.0877555,8.895599111,6.107041273,5.7895293,7.9900098,10.90826122,2.4587726,3.460533667,8.753744,11.23781033,10.2244685,11.12179144,9.033764333,7.110655556,5.407545111,7.900610222,8.514821182,7.8815239,15.28732011,10.3149487,9.440261091,10.8064245,6.8619985,11.4456671,9.473763556,6.072687778,7.790669222,5.862980091,8.8067168,9.322120222,8.615319222,8.618551,8.912986222,9.329818222,11.46873564,9.633218636,7.432117636,6.761166727,4.741862556,1.965656889
305.972992,5.4970238,-0.336902333,-0.933540778,6.147671556,7.879883111,7.9224447,5.1105671,16.82434033,11.0477106,10.1881733,6.3044299,2.677625333,1.215905333,3.0214875,9.562946909,6.6844884,8.214735778,4.5934922,12.67970633,13.86515411,12.85140089,12.1127379,10.25522627,6.8297902,6.283654,8.824658778,11.4684589,12.317956,9.005049778,8.317674091,7.1027853,8.890014,6.080349818,5.7900916,7.9931286,10.89838056,2.4733533,3.478632222,8.767119556,11.28968,10.2753945,11.13811422,9.000579778,7.075343222,5.36666,7.814957111,8.522646727,7.909968,15.25405678,10.3005546,9.438110364,10.7811929,6.8522932,11.4980073,9.498686444,6.086436222,7.800515444,5.856734182,8.7880332,9.359625667,8.644127333,8.658155111,8.872612111,9.295264556,11.46761864,9.621552182,7.437605455,6.761540545,4.727180889,1.944952889
306.344452,5.5387128,-0.253276444,-0.875325222,6.122713,7.864496556,7.8827347,5.0908711,16.84912322,11.0631549,10.2538836,6.3089468,2.726934667,1.253202,3.0490165,9.534224182,6.6789997,8.185792,4.5770267,12.73006067,13.93056967,12.89663089,12.1690143,10.29348091,6.8634511,6.3267756,8.873817556,11.5185313,12.37108656,8.986898778,8.301953364,7.0826381,8.868113,6.074470545,5.7863681,8.0147997,10.93202467,2.4925475,3.504916667,8.796878111,11.34352311,10.2772185,11.13729933,8.967639556,7.038203556,5.325432444,7.759998333,8.520257545,7.914093,15.20204833,10.2985362,9.454122455,10.7681513,6.8415512,11.5240523,9.501306,6.108454667,7.815085778,5.847524818,8.8022459,9.387424778,8.660301222,8.697213444,8.823193556,9.269251,11.47559118,9.622963818,7.443989,6.750205091,4.724561,1.935616444
306.715912,5.5339882,-0.252428667,-0.856063556,6.131534,7.891194889,7.9077548,5.1198296,16.87989433,11.1452177,10.332729,6.3528679,2.744825222,1.277829111,3.0993854,9.50908,6.661261,8.166921111,4.5582505,12.73554433,13.95594078,12.91229989,12.158366,10.25811709,6.8420706,6.2912968,8.927097556,11.5498081,12.40286922,8.996422222,8.295872455,7.0978258,8.884978111,6.081874636,5.7997094,7.9793339,10.96350444,2.5043979,3.525152,8.825542,11.37124267,10.3302175,11.19235278,8.971306,7.054447667,5.335919667,7.748971,8.564180727,7.9664323,15.19290756,10.350159,9.516034091,10.8025674,6.8837553,11.5331314,9.507860778,6.106248667,7.852970556,5.879261182,8.8213899,9.426998889,8.695106333,8.766581778,8.782654778,9.226274111,11.44788927,9.588519636,7.443023909,6.724428182,4.723704111,1.938699444
307.087311,5.5224049,-0.233609667,-0.804184444,6.147306778,7.89848,7.9190766,5.1348495,16.90217078,11.175079,10.3848331,6.4020672,2.778871222,1.352420222,3.1454353,9.532718,6.706471,8.202523778,4.6069752,12.82515133,14.07425478,13.01611278,12.1491638,10.23667645,6.8279853,6.2676291,8.930893222,11.5495421,12.41008744,9.001419333,8.314509,7.1142261,8.879443889,6.063917091,5.8074956,7.9935321,10.94772956,2.5380394,3.554186444,8.846988667,11.41725744,10.377953,11.21785122,8.994523778,7.093348111,5.376885444,7.784615889,8.604987364,8.0141576,15.21978111,10.3578357,9.536965273,10.7989714,6.9179977,11.5562724,9.504978222,6.130568889,7.839997667,5.873098545,8.7968043,9.429526667,8.714653556,8.801575111,8.806928778,9.239822444,11.435851,9.59232,7.468245364,6.742905,4.743925333,1.988915
307.458649,5.5241954,-0.186091778,-0.751950111,6.140963111,7.908407667,7.9117528,5.1353556,16.876721,11.1746363,10.3900306,6.399823,2.798582778,1.360868889,3.1459551,9.547949455,6.7247933,8.210539556,4.6479055,12.87423756,14.14600733,13.08933978,12.1963276,10.28336036,6.8585473,6.3252765,8.966376111,11.5836349,12.42984378,9.004277444,8.330724818,7.1379998,8.878491556,6.055105909,5.832161,8.0072825,10.94330444,2.5460076,3.568499,8.867171889,11.45574344,10.3959933,11.249045,9.021659444,7.131012778,5.426469,7.824604889,8.624579273,8.0411813,15.19452089,10.3471573,9.537446727,10.7797262,6.9034701,11.6042515,9.528825778,6.190813667,7.853068667,5.885901909,8.8052818,9.436593,8.709755556,8.829854778,8.799164111,9.245401222,11.42302173,9.572934727,7.460830273,6.730144182,4.748144333,2.015662
